location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
PEORIA_J,Peoria,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,16,µg/m³,40.6978,-89.5889,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
NORMAL,Bloomington-Normal,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,18.8,µg/m³,40.5169,-88.9975,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
CARY,Chicago-Naperville-Joliet,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,4.1,µg/m³,42.2211,-88.2411,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
JERSEYVL,JERSEY,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,9.2,µg/m³,39.101439,-90.344494,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
KNIGHT_P,Mount Vernon,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,9.8,µg/m³,38.088902,-88.625,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
Naperville,Chicago-Naperville-Joliet,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,14,µg/m³,41.7714,-88.1522,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
NORTHBRK,Chicago-Naperville-Joliet,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,9,µg/m³,42.1406,-87.7994,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
CHI_COM,Chicago-Naperville-Joliet,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,9.6,µg/m³,41.7547,-87.7136,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
ALSIP,Chicago-Naperville-Joliet,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,7.9,µg/m³,41.6708,-87.7325,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
Bondville,Champaign-Urbana,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,co,0.15,ppm,40.0519,-88.3724,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""EPA Office of Atmospheric Programs""}]"
BONDVILLE,CHAMPAIGN,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,14.4,µg/m³,40.052241,-88.372549,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
Weiser PM25,WASHINGTON,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,20,µg/m³,44.261694,-116.979172,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
McCall,VALLEY,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,46,µg/m³,44.890197,-116.1065,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Pinehurst,SHOSHONE,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,64,µg/m³,47.536712,-116.236867,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Pinehurst,SHOSHONE,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,64,µg/m³,47.536712,-116.236867,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Lapwai-ID,Lewiston,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,9.7,µg/m³,46.397202,-116.806198,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
Lewiston,Lewiston,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,7,µg/m³,46.408501,-116.991402,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Salmon PM2.5,LEMHI,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,13,µg/m³,45.178699,-113.892998,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Moscow,Moscow,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,11,µg/m³,46.728199,-116.954597,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Lancaster,Coeur d'Alene,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,16,µg/m³,47.7889,-116.8044,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Minidoka National Hi,JEROME,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,9,µg/m³,42.68,-114.2525,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""National Park Service""}]"
Kamiah-ID,IDAHO,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,23.8,µg/m³,46.2094,-116.027496,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
Grangeville,IDAHO,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,4,µg/m³,45.931301,-116.115196,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Nampa Fire Station,Boise City-Nampa,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,35,µg/m³,43.58031,-116.562676,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Nampa Fire Station,Boise City-Nampa,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,63,µg/m³,43.58031,-116.562676,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Boundary County,BOUNDARY,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,16.2,µg/m³,48.705551,-116.368965,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Idaho Falls / Penfor,Idaho Falls,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,14,µg/m³,43.4683,-112.053101,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Sandpoint U of I,BONNER,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,38,µg/m³,48.291821,-116.556557,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Sandpoint U of I,BONNER,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,34,µg/m³,48.291821,-116.556557,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Garden Valley,BOISE,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,10,µg/m³,44.104498,-115.972386,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Ketchum,BLAINE,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,7,µg/m³,43.682556,-114.371094,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Plummer CDA Tribe,BENEWAH,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,23.7,µg/m³,47.3386,-116.885902,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
St. Maries,BENEWAH,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,44,µg/m³,47.3167,-116.570297,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Shoshone Bannock Tri,BANNOCK,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,3.1,µg/m³,42.589833,-112.458889,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
Shoshone Bannock Tri,BANNOCK,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm10,10,µg/m³,42.589833,-112.458889,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
Pocatello Garrett an,Pocatello,US,2018-11-15T05:00:00.000Z,2018-11-14T22:00:00-07:00,pm25,9.5,µg/m³,42.876701,-112.460297,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
